cycle_number,capacity_ah,resistance_ohm,temperature_c
1,1.85649,0.04467,32.57
2,1.84633,0.04669,32.73
3,1.83535,0.04484,32.64
4,1.83526,0.04619,32.51
5,1.83465,0.0451,32.38
6,1.83566,0.04599,32.43
7,1.83515,0.04417,32.48
8,1.82576,0.04522,32.41
9,1.82477,0.04379,32.35
10,1.82461,0.04491,32.28
11,1.82462,0.04464,32.16
12,1.8142,0.04717,32.36
13,1.81375,0.04356,32.32
14,1.81344,0.04649,32.16
15,1.8026,0.04527,32.04
16,1.80211,0.04636,31.93
17,1.80258,0.04448,31.94
18,1.80307,0.04483,31.97
19,1.80278,0.04441,31.97
20,1.84703,0.04466,32.37
21,1.84742,0.04454,32.7
22,1.83618,0.04502,32.32
23,1.82578,0.04611,31.99
24,1.82511,0.04646,31.89
25,1.82558,0.04767,31.78
26,1.81403,0.04772,31.69
27,1.81477,0.04787,31.6
28,1.81397,0.04694,31.57
29,1.80277,0.04561,31.59
30,1.80408,0.04703,31.6
31,1.8518,0.04673,31.92
32,1.8307,0.04776,32.08
33,1.8199,0.04692,31.85
34,1.80931,0.04702,31.47
35,1.80461,0.0466,31.41
36,1.79938,0.04625,31.9
37,1.78844,0.04683,31.65
38,1.78292,0.04619,31.49
39,1.77303,0.04624,31.33
40,1.77304,0.04774,31.57
41,1.76787,0.04943,32.11
42,1.76232,0.04838,32.27
43,1.76762,0.04748,31.84
44,1.76267,0.04804,31.76
45,1.75173,0.0477,31.42
46,1.74185,0.04809,31.33
47,1.73609,0.04815,31.36
48,1.79362,0.04755,34.31
49,1.78319,0.04759,33.44
50,1.76736,0.04764,32.67
51,1.75702,0.04764,32.28
52,1.74687,0.04842,32.01
53,1.74172,0.04893,32.06
54,1.73642,0.04943,32.44
55,1.72632,0.04932,32.17
56,1.71581,0.04975,32.06
57,1.71053,0.04912,31.98
58,1.70601,0.04988,32.22
59,1.70031,0.04786,32.56
60,1.69458,0.04922,32.4
61,1.6849,0.04887,32.29
62,1.67447,0.04995,32.14
63,1.67457,0.0483,32.38
64,1.66372,0.04897,32.31
65,1.65901,0.04815,32.57
66,1.65385,0.05023,32.47
67,1.64265,0.04845,32.35
68,1.63786,0.04972,32.37
69,1.63274,0.04868,32.46
70,1.62775,0.04913,32.5
71,1.62213,0.04992,32.5
72,1.61133,0.04921,32.47
73,1.60656,0.04944,32.5
74,1.60151,0.04951,32.51
75,1.59037,0.0494,32.46
76,1.58579,0.04865,32.45
77,1.58494,0.04916,32.33
78,1.59553,0.04917,32.84
79,1.57473,0.0487,32.32
80,1.5649,0.04923,32.06
81,1.55977,0.04886,32.22
82,1.55948,0.05055,32.71
83,1.55469,0.05065,32.95
84,1.54887,0.05012,32.86
85,1.53824,0.04913,32.63
86,1.52791,0.04979,32.38
87,1.52853,0.04963,32.68
88,1.52265,0.04987,32.99
89,1.51749,0.04892,33.05
90,1.60582,0.04981,32.86
91,1.56385,0.04975,33.34
92,1.54809,0.04851,33.35
93,1.53238,0.04916,33.15
94,1.52695,0.05002,33.01
95,1.51696,0.04971,32.92
96,1.5119,0.0502,33.0
97,1.50656,0.04895,33.04
98,1.50155,0.04976,33.08
99,1.49084,0.04981,33.05
100,1.48587,0.04969,33.12
101,1.48041,0.05059,33.13
102,1.47521,0.04995,33.13
103,1.4859,0.04984,33.2
104,1.49609,0.05028,33.79
105,1.4808,0.05006,33.67
106,1.46975,0.04992,33.54
107,1.4539,0.04921,33.32
108,1.45415,0.05008,33.35
109,1.45502,0.05469,33.65
110,1.44904,0.05487,33.79
111,1.43867,0.05416,33.52
112,1.43345,0.05524,33.39
113,1.4334,0.05454,33.67
114,1.42806,0.05508,33.91
115,1.42292,0.0534,33.79
116,1.41743,0.05485,33.61
117,1.41241,0.05545,33.46
118,1.41258,0.05809,33.72
119,1.4076,0.05704,34.05
120,1.43339,0.0564,33.89
121,1.43826,0.05695,34.07
122,1.41735,0.05716,33.75
123,1.40698,0.05596,33.46
124,1.4012,0.057,33.4
125,1.3967,0.05699,33.41
126,1.39128,0.05792,33.39
127,1.38623,0.057,33.37
128,1.38044,0.05858,33.27
129,1.37524,0.05728,33.22
130,1.37051,0.05684,33.26
131,1.37051,0.05895,33.31
132,1.36474,0.05667,33.25
133,1.37539,0.05822,33.75
134,1.38611,0.0578,33.89
135,1.36985,0.05869,33.74
136,1.36478,0.0581,33.59
137,1.35432,0.05687,33.32
138,1.35464,0.05782,33.69
139,1.3547,0.0584,33.89
140,1.34931,0.0573,33.67
141,1.34419,0.05714,33.41
142,1.33899,0.05701,33.3
143,1.33891,0.05685,33.6
144,1.33401,0.05739,33.62
145,1.32864,0.05971,33.39
146,1.32317,0.05669,33.17
147,1.31817,0.05788,33.11
148,1.31847,0.05711,33.47
149,1.31829,0.05711,33.44
150,1.32387,0.05841,33.04
151,1.36012,0.05832,33.49
152,1.33953,0.05721,33.49
153,1.32903,0.05854,33.33
154,1.32367,0.05687,33.27
155,1.31863,0.05761,33.23
156,1.31348,0.05759,33.21
157,1.3132,0.05688,33.24
158,1.3078,0.05841,33.19
159,1.30303,0.05898,33.17
160,1.30336,0.0602,33.25
161,1.30341,0.05843,33.32
162,1.29789,0.05988,33.34
163,1.29807,0.06082,33.29
164,1.29346,0.05888,33.28
165,1.288,0.05864,33.32
166,1.28745,0.05845,33.37
167,1.30902,0.05926,33.71
168,1.32508,0.05868,33.87
