checkpoint_index,checkpoint_label,capacity_ah,soh_pct
0,BoL,3.1354545662630002,100.0
1,BoL,2.952618326509,94.16874855335844
2,RPT1,3.08211850326,98.29893682476258
3,RPT2,3.040256162526,96.96380854114997
4,RPT3,2.996439345388,95.56634555095194
5,RPT4,2.968880184041,94.68739288987587
6,RPT5,2.92321370133,93.23093795659874
7,RPT6,2.891680018735,92.2252246882804
8,RPT7,2.858278323288,91.15993432156941
9,RPT8,2.824530482016,90.0836042214582
10,RPT9,2.793213093936,89.08478929946985
11,RPT10,2.802840938684,89.39185306150277
12,RPT11,2.762134156897,88.09357936859078
13,RPT12,2.73640880276,87.27311287503031
