Cycle,Cap_Ah,Temp_C
1,2.0488,23.1
2,2.0488,22.6
3,2.0453,22.9
4,2.0416,21.8
5,2.0421,22.3
6,2.0388,23.2
7,2.0418,21.7
8,2.0457,23.5
9,2.0371,22.0
10,2.0354,23.5
11,2.0386,22.5
12,2.0368,23.5
13,2.0346,23.1
14,2.0292,22.1
15,2.0315,23.7
16,2.0332,23.9
17,2.0238,23.0
18,2.0261,22.8
19,2.0191,22.9
20,2.0202,22.4
21,2.0168,23.7
22,2.0219,22.7
23,2.0165,23.0
24,2.0214,22.5
25,2.0197,22.6
26,2.017,22.2
27,2.0064,23.8
28,2.0131,22.9
29,2.0137,23.6
30,2.0131,23.0
31,2.0052,22.6
32,2.0082,22.8
33,2.0049,22.7
34,2.0042,23.0
35,2.0104,22.8
36,2.0016,22.8
37,2.0034,22.2
38,2.0058,22.5
39,1.9986,24.0
40,1.9992,22.6
41,1.9987,22.4
42,1.9972,23.2
43,1.9907,23.8
44,1.9946,22.1
45,1.9984,22.9
46,1.9854,22.6
47,1.9937,21.9
48,1.9894,23.4
49,1.985,23.0
50,1.9943,23.0
51,1.9879,22.5
52,1.9787,23.3
53,1.9825,22.7
54,1.9831,22.9
55,1.9787,22.3
56,1.9808,22.3
57,1.9765,23.8
58,1.978,22.7
59,1.9797,23.2
60,1.9699,23.0
61,1.972,22.7
62,1.968,22.7
63,1.969,23.4
64,1.9623,22.8
65,1.9633,22.9
66,1.9635,23.0
67,1.9665,23.7
68,1.966,23.4
69,1.9548,23.2
70,1.9555,22.7
71,1.9598,22.2
72,1.9479,23.6
73,1.9526,23.6
74,1.9526,22.9
75,1.9566,23.3
76,1.9529,23.5
77,1.9474,23.5
78,1.9458,23.6
79,1.9448,22.7
80,1.9505,23.9
81,1.9412,22.3
82,1.9403,23.5
83,1.9415,23.3
84,1.9381,23.5
85,1.9364,24.1
86,1.9312,23.9
87,1.9342,22.3
88,1.931,22.0
89,1.936,23.5
90,1.9325,22.4
91,1.9283,23.0
92,1.9296,23.5
93,1.9241,22.0
94,1.9282,21.7
95,1.9224,23.2
96,1.9233,23.0
97,1.9143,22.9
98,1.9194,23.0
99,1.9097,22.5
100,1.9069,22.1
101,1.9123,22.9
102,1.9084,22.4
103,1.9111,22.0
104,1.918,23.3
105,1.9041,23.0
106,1.9035,23.2
107,1.9052,22.4
108,1.9049,22.6
109,1.9007,22.4
110,1.899,22.5
111,1.9011,23.1
112,1.8989,22.5
113,1.8911,23.2
114,1.8934,23.2
115,1.8923,24.2
116,1.8864,22.2
117,1.8901,23.5
118,1.8841,22.9
119,1.8898,23.0
120,1.8852,22.1
